MUNICIPALITY,YEAR,FARM TYPE,CROP,MONTH,Area planted(ha),Area harvested(ha),Production(mt),Productivity(mt/ha),Rain Value (mm)
ATOK,2015,IRRIGATED,CABBAGE,JAN,98,120.0,2400,20.0,41.6
ATOK,2015,IRRIGATED,CABBAGE,FEB,115,76.0,1216,16.0,47.9
ATOK,2015,IRRIGATED,CABBAGE,MAR,82,51.19,972.61,19.0,75.3
ATOK,2015,IRRIGATED,CABBAGE,APR,5,98.0,2450,25.0,171.1
ATOK,2015,IRRIGATED,CABBAGE,MAY,54,115.0,2875,25.0,197.5
ATOK,2015,IRRIGATED,CABBAGE,JUN,46,81.55,1875.65,23.0,404.7
ATOK,2015,IRRIGATED,CABBAGE,JUL,15,5.0,55,11.0,884.6
ATOK,2015,IRRIGATED,CABBAGE,AUG,15,54.0,540,10.0,684.4
ATOK,2015,IRRIGATED,CABBAGE,SEP,34,6.5,65,10.0,368.9
ATOK,2015,IRRIGATED,CABBAGE,OCT,76,5.0,50,10.0,658.2
ATOK,2015,IRRIGATED,CABBAGE,NOV,118,7.0,70,10.0,31.0
ATOK,2015,IRRIGATED,CABBAGE,DEC,76,15.0,150,10.0,192.1
ATOK,2015,IRRIGATED,CHINESE CABBAGE,JAN,9.15,5.25,120.75,23.0,41.6
ATOK,2015,IRRIGATED,CHINESE CABBAGE,FEB,15.5,5.5,104.5,19.0,47.9
ATOK,2015,IRRIGATED,CHINESE CABBAGE,MAR,8.5,5.6,133.4,23.82,75.3
ATOK,2015,IRRIGATED,CHINESE CABBAGE,APR,5,9.25,231.25,25.0,171.1
ATOK,2015,IRRIGATED,CHINESE CABBAGE,MAY,10,15.0,375,25.0,197.5
ATOK,2015,IRRIGATED,CHINESE CABBAGE,JUN,9,8.75,218.75,25.0,404.7
ATOK,2015,IRRIGATED,CHINESE CABBAGE,JUL,5,5.0,55,11.0,884.6
ATOK,2015,IRRIGATED,CHINESE CABBAGE,AUG,4.75,10.0,100,10.0,684.4
ATOK,2015,IRRIGATED,CHINESE CABBAGE,SEP,5,4.0,40,10.0,368.9
ATOK,2015,IRRIGATED,CHINESE CABBAGE,OCT,6,1.5,15,10.0,658.2
ATOK,2015,IRRIGATED,CHINESE CABBAGE,NOV,26.5,1.0,10,10.0,31.0
ATOK,2015,IRRIGATED,CHINESE CABBAGE,DEC,5,5.0,55,11.0,192.1
ATOK,2015,IRRIGATED,LETTUCE,JAN,15.11,12.21,109.89,9.0,41.6
ATOK,2015,IRRIGATED,LETTUCE,FEB,5.11,15.11,135.99,9.0,47.9
ATOK,2015,IRRIGATED,LETTUCE,MAR,15.11,15.11,151.1,10.0,75.3
ATOK,2015,IRRIGATED,LETTUCE,APR,12,15.11,151.1,10.0,171.1
ATOK,2015,IRRIGATED,LETTUCE,MAY,11,12.0,120,10.0,197.5
ATOK,2015,IRRIGATED,LETTUCE,JUN,10,11.0,110,10.0,404.7
ATOK,2015,IRRIGATED,LETTUCE,JUL,9,10.0,60,6.0,884.6
ATOK,2015,IRRIGATED,LETTUCE,AUG,8,9.0,54,6.0,684.4
ATOK,2015,IRRIGATED,LETTUCE,SEP,5,2.5,15.6,6.24,368.9
ATOK,2015,IRRIGATED,LETTUCE,OCT,5,5.0,55,11.0,658.2
ATOK,2015,IRRIGATED,LETTUCE,NOV,16,5.0,90,18.0,31.0
ATOK,2015,IRRIGATED,LETTUCE,DEC,16,16.0,112,7.0,192.1
ATOK,2015,IRRIGATED,CAULIFLOWER,JAN,3.12,4.8,52.8,11.0,41.6
ATOK,2015,IRRIGATED,CAULIFLOWER,FEB,6.1,3.08,30.8,10.0,47.9
ATOK,2015,IRRIGATED,CAULIFLOWER,MAR,5.25,2.0,20,10.0,75.3
ATOK,2015,IRRIGATED,CAULIFLOWER,APR,3,3.12,37.44,12.0,171.1
ATOK,2015,IRRIGATED,CAULIFLOWER,MAY,1.75,6.0,66,11.0,197.5
ATOK,2015,IRRIGATED,CAULIFLOWER,JUN,5,5.25,57.75,11.0,404.7
ATOK,2015,IRRIGATED,CAULIFLOWER,JUL,5,3.0,15,5.0,884.6
ATOK,2015,IRRIGATED,CAULIFLOWER,AUG,5,1.75,8.75,5.0,684.4
ATOK,2015,IRRIGATED,CAULIFLOWER,SEP,5,5.0,55,11.0,368.9
ATOK,2015,IRRIGATED,CAULIFLOWER,OCT,1,5.0,55,11.0,658.2
ATOK,2015,IRRIGATED,CAULIFLOWER,NOV,2.6,5.0,55,11.0,31.0
ATOK,2015,IRRIGATED,CAULIFLOWER,DEC,2.4,5.0,55,11.0,192.1
ATOK,2015,IRRIGATED,BROCCOLI,JAN,4.5,4.8,33.6,7.0,41.6
ATOK,2015,IRRIGATED,BROCCOLI,FEB,6.15,2.5,25,10.0,47.9
ATOK,2015,IRRIGATED,BROCCOLI,MAR,5.35,2.05,16.4,8.0,75.3
ATOK,2015,IRRIGATED,BROCCOLI,APR,5.38,4.5,40.5,9.0,171.1
ATOK,2015,IRRIGATED,BROCCOLI,MAY,3.25,6.15,55.35,9.0,197.5
ATOK,2015,IRRIGATED,BROCCOLI,JUN,2.2,5.35,42.8,8.0,404.7
ATOK,2015,IRRIGATED,BROCCOLI,JUL,5,5.38,32.28,6.0,884.6
ATOK,2015,IRRIGATED,BROCCOLI,AUG,5,3.25,16.25,5.0,684.4
ATOK,2015,IRRIGATED,BROCCOLI,SEP,5,5.0,55,11.0,368.9
ATOK,2015,IRRIGATED,BROCCOLI,OCT,1.2,5.0,55,11.0,658.2
ATOK,2015,IRRIGATED,BROCCOLI,NOV,2.75,5.0,55,11.0,31.0
ATOK,2015,IRRIGATED,BROCCOLI,DEC,2,5.0,55,11.0,192.1
ATOK,2015,IRRIGATED,SNAP BEANS,JAN,24.5,7.75,69.75,9.0,41.6
ATOK,2015,IRRIGATED,SNAP BEANS,FEB,25,2.85,27.08,9.5,47.9
ATOK,2015,IRRIGATED,SNAP BEANS,MAR,19.5,0.75,6.75,9.05,75.3
ATOK,2015,IRRIGATED,SNAP BEANS,APR,5,24.5,245,10.0,171.1
ATOK,2015,IRRIGATED,SNAP BEANS,MAY,12.3,25.0,250,10.0,197.5
ATOK,2015,IRRIGATED,SNAP BEANS,JUN,13.35,19.5,195,10.0,404.7
ATOK,2015,IRRIGATED,SNAP BEANS,JUL,9,5.0,55,11.0,884.6
ATOK,2015,IRRIGATED,SNAP BEANS,AUG,3.5,12.3,123,10.0,684.4
ATOK,2015,IRRIGATED,SNAP BEANS,SEP,1.5,13.75,67,4.87,368.9
ATOK,2015,IRRIGATED,SNAP BEANS,OCT,5.1,5.0,55,11.0,658.2
ATOK,2015,IRRIGATED,SNAP BEANS,NOV,25,5.0,55,11.0,31.0
ATOK,2015,IRRIGATED,SNAP BEANS,DEC,19,5.0,55,11.0,192.1
ATOK,2015,IRRIGATED,GARDEN PEAS,JAN,8,6.2,31,5.0,41.6
ATOK,2015,IRRIGATED,GARDEN PEAS,FEB,15.75,4.2,18.9,4.5,47.9
ATOK,2015,IRRIGATED,GARDEN PEAS,MAR,30.05,2.05,8.19,4.0,75.3
ATOK,2015,IRRIGATED,GARDEN PEAS,APR,5,8.0,48,6.0,171.1
ATOK,2015,IRRIGATED,GARDEN PEAS,MAY,5,15.7,94.2,6.0,197.5
ATOK,2015,IRRIGATED,GARDEN PEAS,JUN,5,30.05,180.3,6.0,404.7
ATOK,2015,IRRIGATED,GARDEN PEAS,JUL,5,5.0,55,11.0,884.6
ATOK,2015,IRRIGATED,GARDEN PEAS,AUG,5,5.0,55,11.0,684.4
ATOK,2015,IRRIGATED,GARDEN PEAS,SEP,5,5.0,55,11.0,368.9
ATOK,2015,IRRIGATED,GARDEN PEAS,OCT,6.4,5.0,55,11.0,658.2
ATOK,2015,IRRIGATED,GARDEN PEAS,NOV,8,5.0,55,11.0,31.0
ATOK,2015,IRRIGATED,GARDEN PEAS,DEC,12.5,5.0,55,11.0,192.1
ATOK,2015,IRRIGATED,SWEET PEPPER,JAN,2,5.0,55,11.0,41.6
ATOK,2015,IRRIGATED,SWEET PEPPER,FEB,3.5,5.0,55,11.0,47.9
ATOK,2015,IRRIGATED,SWEET PEPPER,MAR,4.3,5.0,55,11.0,75.3
ATOK,2015,IRRIGATED,SWEET PEPPER,APR,4.1,2.0,18,9.0,171.1
ATOK,2015,IRRIGATED,SWEET PEPPER,MAY,5,3.5,28,8.0,197.5
ATOK,2015,IRRIGATED,SWEET PEPPER,JUN,5,4.3,34.4,8.0,404.7
ATOK,2015,IRRIGATED,SWEET PEPPER,JUL,5,2.61,20.86,8.0,884.6
ATOK,2015,IRRIGATED,SWEET PEPPER,AUG,2.2,5.0,55,11.0,684.4
ATOK,2015,IRRIGATED,SWEET PEPPER,SEP,3,5.0,55,11.0,368.9
ATOK,2015,IRRIGATED,SWEET PEPPER,OCT,1,5.0,55,11.0,658.2
ATOK,2015,IRRIGATED,SWEET PEPPER,NOV,5,5.0,55,11.0,31.0
ATOK,2015,IRRIGATED,SWEET PEPPER,DEC,4,5.0,55,11.0,192.1
ATOK,2015,IRRIGATED,WHITE POTATO,JAN,43,320.0,4800,15.0,41.6
ATOK,2015,IRRIGATED,WHITE POTATO,FEB,95.5,123.0,1230,10.0,47.9
ATOK,2015,IRRIGATED,WHITE POTATO,MAR,82,115.0,1725,15.0,75.3
ATOK,2015,IRRIGATED,WHITE POTATO,APR,41,43.0,774,18.0,171.1
ATOK,2015,IRRIGATED,WHITE POTATO,MAY,36.29,95.5,1814.5,19.0,197.5
ATOK,2015,IRRIGATED,WHITE POTATO,JUN,5,82.0,1558,19.0,404.7
ATOK,2015,IRRIGATED,WHITE POTATO,JUL,5,41.0,697,17.0,884.6
ATOK,2015,IRRIGATED,WHITE POTATO,AUG,5,23.0,207,9.0,684.4
ATOK,2015,IRRIGATED,WHITE POTATO,SEP,71,5.0,55,11.0,368.9
ATOK,2015,IRRIGATED,WHITE POTATO,OCT,78,5.0,55,11.0,658.2
